Tot Fwd Pkts_sum,Tot Bwd Pkts_sum,TotLen Fwd Pkts_sum,TotLen Bwd Pkts_sum,Flow Duration_mean,Flow Duration_std,Flow IAT Mean_mean,Dst Port_nunique,SYN Flag Cnt_sum,ACK Flag Cnt_sum,RST Flag Cnt_sum,FIN Flag Cnt_sum,PSH Flag Cnt_sum,flow_count,bwd_fwd_pkt_ratio,ttl_mean,ttl_session_variance,tcp_window_mean,tcp_window_std,ip_fragment_count,payload_size_mean,payload_size_std,zero_payload_ratio,tcp_retrans_count,sequential_scan_score,random_scan_entropy,has_attack,window_start,date,Future_Attack_Target
316.0,403.0,83441.95396273625,288253.87308033946,2171.9526896605503,1038.2574509959952,103.70246561048639,10.0,13.0,231.63566604883098,2.0,5.0,19.0,48.0,1.275316451660391,63.2328939193368,0.1258683640789615,29175.037044506873,2016.1754801707477,0.0,459.5366856584408,392.67450609872583,0.1661057457718857,1.0,0.00973193539259838,0.6667210037270341,0,2018-02-14 09:00:00,2018-02-14,0.0
224.0,163.0,62080.42311156535,143135.8855649641,3555.6199768589236,1743.1530751063376,62.35729655795975,11.0,12.0,165.9541505177343,2.0,3.0,28.0,50.0,0.7276785681800064,63.327874818429976,0.04176730886712377,29571.62708560172,2165.3563921156747,0.0,615.119295901012,228.09166034551026,0.15819377418137615,1.0,0.040238217874840096,0.5874783790301745,0,2018-02-14 09:00:10,2018-02-14,0.0
150.0,133.0,40481.436270698236,71811.45365043258,827.2403980787204,360.74077020655955,106.43061135696418,9.0,14.0,125.13280639598855,2.0,6.0,28.0,55.0,0.8866666607555556,127.77988619901865,0.026034210295036282,28767.084442153377,1442.1924122862652,0.0,554.356247916535,341.2497143540064,0.1325133816000768,1.0,0.027960358037270677,0.5039500980626122,0,2018-02-14 09:00:20,2018-02-14,0.0
260.0,188.0,108773.26060020711,103439.34294305004,2311.5559817811536,1054.1178900212656,50.4121331624943,10.0,6.0,177.94794357771573,2.0,4.0,27.0,39.0,0.723076920295858,127.65819788293078,0.11974574927489788,65380.32673013988,2128.0407693320694,0.0,375.1378139584668,155.67801828346512,0.06170622190083343,1.0,0.03611796752982251,0.6618772302513873,0,2018-02-14 09:00:30,2018-02-14,0.0
106.0,151.0,29272.541443797927,134001.0636457167,2450.7782196239136,770.2952005642801,59.19657158922395,7.0,18.0,75.10564101559781,1.0,9.0,13.0,47.0,1.4245282884478463,63.202202537918815,0.13720129669906497,14147.26047231997,1031.7399229190391,0.0,736.1293698064758,344.68772599144864,0.14319572459066943,1.0,0.013612078092257951,0.2963909621534993,0,2018-02-14 09:00:40,2018-02-14,0.0
206.0,293.0,88144.95785286195,158704.72611950172,1932.0395093574143,722.130429408097,42.98046178210012,7.0,22.0,170.476506943816,1.0,7.0,36.0,35.0,1.4223300901828637,64.01748171641876,0.09177371564778297,14088.251253689068,1331.6148043412193,0.0,318.72637823785163,273.4977048111297,0.0928819576032621,1.0,0.007226209443302345,0.30340296772255165,0,2018-02-14 09:00:50,2018-02-14,0.0
255.0,340.0,168952.81509304163,274292.551248694,2083.418276778897,786.02089585103,22.964503233860675,4.0,8.0,189.89621292613185,2.0,5.0,41.0,22.0,1.3333333281045752,65.59738471335343,0.07869897920963291,14807.204716637998,1643.4561047521508,0.0,513.0702304756292,216.7439157729734,0.0931039696545318,1.0,0.021945573015252337,0.22161207988033044,0,2018-02-14 09:01:00,2018-02-14,0.0
177.0,241.0,114710.22830781936,120060.02131406563,2849.933731094483,662.8168463310417,107.39121209517552,4.0,10.0,141.21534190213998,2.0,7.0,47.0,38.0,1.3615819132114015,128.78619160881846,0.1382416583192651,65052.441618883815,1609.7049387829668,0.0,466.9150277380975,357.4474357831033,0.15507269136835924,0.0,0.015856944641135767,1.152899395069745,0,2018-02-14 09:01:10,2018-02-14,0.0
151.0,180.0,49525.36433785401,189941.4898261694,1409.048925053467,300.7941630041674,76.56261780039493,7.0,24.0,130.9929801613476,2.0,2.0,39.0,43.0,1.1920529722380597,127.9050893391121,0.08264017045410285,66188.00087085342,2044.024864221976,0.0,597.7475684254925,243.41443221842752,0.06228066684799699,1.0,0.013123025796143235,1.1368131505337793,0,2018-02-14 09:01:20,2018-02-14,0.0
381.0,339.0,99585.3861243881,332823.03709524026,1367.1519715106278,346.95650058029395,97.91976289770966,9.0,22.0,251.05248229117572,0.0,4.0,49.0,48.0,0.8897637771922211,127.68431590171232,0.0801037660683279,29368.787274399467,959.3120599977105,0.0,359.3199980039345,319.41466840321436,0.06583822560170904,0.0,0.02531649658103165,0.8942624356428865,0,2018-02-14 09:01:30,2018-02-14,0.0
253.0,261.0,152321.75256205624,235104.88258080697,3534.2408144875044,845.8050592801468,36.0879944745448,4.0,16.0,181.976184911313,2.0,9.0,22.0,49.0,1.0316205492821322,64.43049234960314,0.1437872559865758,29122.74716037505,2349.616858624054,0.0,311.18677112381533,288.79951058170616,0.13241676451854106,1.0,0.007016979853195632,0.6191143193163038,0,2018-02-14 09:01:40,2018-02-14,0.0
