timestamp,flow_count,attack_flows,is_active_attack,is_future_target_120s,LogReg_probability,LogReg_alert,RandomForest_probability,RandomForest_alert,XGBoost_probability,XGBoost_alert,LSTM_probability,LSTM_alert,Ensemble (XGB+LSTM)_probability,Ensemble (XGB+LSTM)_alert
01:57:30,558,0,0.0,0.0,0.2968,False,0.1789,False,0.0146,False,0.2255,False,0.1201,False
01:57:40,248,0,0.0,0.0,0.2661,False,0.1763,False,0.0533,False,0.029,False,0.0411,False
01:57:50,88,0,0.0,0.0,0.3105,False,0.1478,False,0.0256,False,0.018,False,0.0218,False
01:58:00,74,0,0.0,0.0,0.3492,False,0.1537,False,0.0171,False,0.0321,False,0.0246,False
01:58:10,101,0,0.0,0.0,0.3298,False,0.102,False,0.0147,False,0.069,False,0.0418,False
01:58:20,140,0,0.0,0.0,0.2528,False,0.0654,False,0.003,False,0.1633,False,0.0832,False
01:58:30,104,0,0.0,0.0,0.2359,False,0.0595,False,0.006,False,0.0192,False,0.0126,False
01:58:40,142,0,0.0,0.0,0.2283,False,0.0386,False,0.029,False,0.0693,False,0.0492,False
01:58:50,231,0,0.0,0.0,0.239,False,0.0333,False,0.0187,False,0.2192,False,0.119,False
01:59:00,101,0,0.0,0.0,0.2447,False,0.0226,False,0.0156,False,0.0132,False,0.0144,False
01:59:10,348,0,0.0,0.0,0.2303,False,0.0389,False,0.0219,False,0.0108,False,0.0164,False
01:59:20,426,0,0.0,1.0,0.2709,False,0.8151,True,0.9628,True,0.0432,False,0.503,True
01:59:30,281,0,0.0,1.0,0.272,False,0.8323,True,0.9447,True,0.1262,False,0.5354,True
01:59:40,107,0,0.0,1.0,0.3032,False,0.8433,True,0.9667,True,0.0193,False,0.493,True
01:59:50,250,0,0.0,1.0,0.297,False,0.832,True,0.9677,True,0.0209,False,0.4943,True
02:00:00,221,0,0.0,1.0,0.2622,False,0.8247,True,0.9717,True,0.426,True,0.6989,True
02:00:10,114,0,0.0,1.0,0.2546,False,0.7583,True,0.9518,True,0.144,False,0.5479,True
02:00:20,128,0,0.0,1.0,0.2746,False,0.7677,True,0.9487,True,0.3774,True,0.6631,True
02:00:30,114,0,0.0,1.0,0.2531,False,0.7461,True,0.8973,True,0.0156,False,0.4564,True
02:00:40,93,0,0.0,1.0,0.2962,False,0.7394,True,0.918,True,0.0117,False,0.4648,True
02:00:50,143,0,0.0,1.0,0.288,False,0.7458,True,0.9396,True,0.0056,False,0.4726,True
02:01:00,183,0,0.0,1.0,0.2287,False,0.7691,True,0.9454,True,0.0541,False,0.4998,True
02:01:10,89,0,0.0,1.0,0.2809,False,0.8064,True,0.9717,True,0.0979,False,0.5348,True
02:01:20,83,7,1.0,1.0,0.2405,False,0.0437,False,0.0046,False,0.0714,False,0.038,False
02:01:30,60,0,0.0,1.0,0.2402,False,0.516,True,0.5065,True,0.0103,False,0.2584,True
02:01:40,65,0,0.0,1.0,0.33,False,0.5687,True,0.853,True,0.047,False,0.45,True
02:01:50,285,206,1.0,1.0,0.239,False,0.032,False,0.0012,False,0.0139,False,0.0076,False
02:02:00,524,210,1.0,1.0,0.2837,False,0.0932,False,0.011,False,0.0237,False,0.0173,False
02:02:10,362,214,1.0,1.0,0.2717,False,0.1592,False,0.0051,False,0.0985,False,0.0518,False
02:02:20,338,212,1.0,1.0,0.1585,False,0.1772,False,0.0249,False,0.0281,False,0.0265,False
